Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,HPDeskjet2131,50:c7:bf:de:20:3b,802.11n,5GHz,11,-89,20,-92,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,7c:0e:ce:dc:5d:03,802.11n,5GHz,6,-68,20,-89,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,7c:0e:ce:de:50:d1,802.11n,5GHz,1,-81,20,-88,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,AT_401_RAC_056905_WW_15e6,de:03:98:c7:15:e6,802.11n,5GHz,11,-90,20,-88,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,eduroam,f0:9e:63:1c:b4:60,802.11n,5GHz,1,-84,20,-88,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,ORBI93,bc:a5:11:3d:fb:4e,802.11ac,2.4GHz,157,-85,80,-96,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,eduroam,f0:9e:63:1d:fb:40,802.11n,5GHz,1,-83,20,-92,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,UNSW Guest,5c:e1:76:0a:20:e2,802.11n,5GHz,6,-83,20,-88,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,f0:9e:63:1c:b4:63,802.11n,5GHz,1,-82,20,-88,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,08:cc:68:b4:ac:fe,802.11ac,2.4GHz,149,-93,40,-95,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,f0:9e:63:14:94:ae,802.11n,2.4GHz,132,-91,40,-93,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,AT_401_RAC_056905_WW_e420,de:03:98:9f:e4:20,802.11n,5GHz,11,-88,20,-89,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Warrane Guest,82:45:58:21:19:9e,802.11n,5GHz,6,-81,20,-89,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,eduroam,a8:9d:21:5c:c2:ff,802.11ac,2.4GHz,132,-88,40,-94,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,5c:e1:76:0a:20:e3,802.11n,5GHz,6,-81,20,-88,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,f0:9e:63:14:a9:23,802.11n,5GHz,1,-89,20,-92,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,f0:9e:63:14:7b:23,802.11n,5GHz,6,-85,20,-87,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,08:cc:68:b4:5f:db,802.11ac,2.4GHz,112,-90,40,-94,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,eduroam,d0:72:dc:53:5d:4f,802.11ac,2.4GHz,132,-75,40,-93,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,08:cc:68:b4:92:51,802.11n,5GHz,11,-71,20,-89,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,UNSW Guest,08:cc:68:b4:58:1c,802.11ac,2.4GHz,100,-89,40,-96,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,UNSW Guest,f0:9e:63:1c:b4:62,802.11n,5GHz,1,-83,20,-88,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,5c:e1:76:0a:15:4e,802.11ac,2.4GHz,132,-90,40,-96,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,B-Link,68:ff:7b:4d:34:22,802.11n,5GHz,1,-77,40,-88,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,a0:0f:37:4c:9f:8f,802.11ac,2.4GHz,108,-92,40,-94,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,a8:9d:21:5c:c2:fb,802.11ac,2.4GHz,132,-88,40,-94,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,f0:9e:63:1d:bf:03,802.11n,5GHz,1,-83,20,-92,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,1c:e6:c7:5b:89:3d,802.11n,2.4GHz,149,-93,40,-95,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,UNSW Guest,f0:9e:63:14:94:ad,802.11n,2.4GHz,132,-90,40,-93,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,a0:0f:37:4c:93:2e,802.11ac,2.4GHz,112,-94,40,-94,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,AT_401_RAC_056905_WW_1ece,26:e8:53:38:1e:ce,802.11n,5GHz,11,-90,20,-89,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,eduroam,f0:9e:63:14:94:af,802.11n,2.4GHz,132,-92,40,-93,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,eduroam,f0:9e:63:1d:bf:00,802.11n,5GHz,1,-82,20,-92,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,08:cc:68:b4:ae:de,802.11ac,2.4GHz,100,-90,40,-96,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,f0:9e:63:1d:ca:c3,802.11n,5GHz,6,-76,20,-92,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,uniwide,f0:9e:63:1d:e4:2e,802.11n,2.4GHz,100,-84,40,-96,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,f0:9e:63:14:94:ac,802.11n,2.4GHz,132,-93,40,-96,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Blackvue750GPRO-E74FFD,00:25:42:e7:4f:fd,802.11n,5GHz,6,-84,20,-85,,
1697010722,MACOS,Airport,-33.91907454114755,151.2281908893486,5.830951894845301,Global_Students,f0:9e:63:14:b0:c3,802.11n,5GHz,11,-79,20,-89,,
